Player_ID,Player Name,Country ,Position,Club,Age,Matches_Played,Goals,Assists,Minutes Played,Market Value,Height,Is_Captain,World_Cup_Year,Last Updated
7257,Weston McKennie,United States ,MF ,Juventus,20,7,0,0,,€84.0M,1.93 m,No,2014,2014-12-28
7106,Bruno Fernandes , Portugal,mf,Manchester United,38,2,0,4,98,€11.9M,1.73 m,FALSE,2022,01/10/2022
7298,Virgil van Dijk,Netherlands,df,Liverpool,19,4,2,1,256,Unknown,1.99 m,Yes,2022,2022-12-04
7388,Unai Simon,SPAIN,GK,Athletic Bilbao,0,4,0,0,188,€70.0M,182,No,2018,
7326,Lautaro Martinez,argentina,FW,Inter Milan,39,2,3,,92,€4.9M,170,TRUE,2022,2022-12-07
7361,Thiago Silva,brazil,df,Fluminense,,2,0,0,68,€44.3M,"1,81",N,2014,"Nov 10, 2014"
7401,Thomas Muller,Germany,FW,Bayern Munich,29,1,3,3,72,Unknown,192,No,2018,2018-11-21
7176,Joao Felix,Portugal,FW,Barcelona,,6,4,0,516,€42.1M,168,No,2014,2014-11-16
7355,Hugo Lloris,France,GK,LAFC,18,5,0,0,195,€18.8M,"1,80",N,2018,2018-12-26
7294,Weston McKennie,USA,MF,Juventus,25,4,?,1,140,€174.6M,?,FALSE,2018,2018-11-17
7306,Jeremy Doku,Belgium,FW,Manchester City,24,5,4,2,215,€75.8M,?,Y,2018,2018-12-25
7101,Robert Lewandowski,poland,FW,Barcelona,38,6,4,1,414,€119.4M,1.93 m,No,2022,26/10/2022
7094,Harry Maguire,England,Defender,Manchester United,,7,0,3,434,€158.8M,173,yes ,2018,bad_date
7406,Harry Maguire,ENGLAND,DF,Manchester United,34,5,0,2,130,€3.9M,171 cm,yes ,2014,2014-11-28
7347,Wataru Endo,japan,MF ,Liverpool,22,4,0,4,248,Unknown,?,No,2014,2014-10-26
7245,Sofyan Amrabat,Morocco ,mf,Manchester United,36,,1,0,130,€137.0M,182,No,2022,2022-11-22
7207,Virgil van Dijk, Netherlands,DF ,Liverpool,,1,0,1,31,€172.1M,185,yes ,2022,
7255,Neymar, Brazil,FW,Al Hilal,29,6,6,6,246,€100.6M,190,N,2018,09/12/2018
7157,Enzo Fernandez,Argentina,MF ,Chelsea,20,7,0,,336,€155.7M,174,Yes,2022,2022-10-18
7053,Enzo Fernandez,ARGENTINA,mf,Chelsea,36,7,1,1,357,€122.9M,188 cm,N,2018,2018-11-22
7079,Pedri,SPAIN,mf,Barcelona,38,1,3,1,88,€151.4M,1.70 m,FALSE,2022,03/12/2022
7305,Frenkie de Jong,netherlands,Midfielder,Barcelona,37,3,1,1,63,€111.4M,"1,86",Yes,2014,"Nov 15, 2014"
7049,Thibaut Courtois,belgium,GK ,Real Madrid,,3,1,1,156,€28.4M,1.89 m,No,2014,2014-12-26
7052,Yassine Bounou,Morocco ,GK,Al Hilal,37,6,0,3,144,€3.3M,197,yes ,2022,26/12/2022
7331,Pedri,spain,MF ,Barcelona,20,,3,3,128,€123.0M,192,Y,2022,2022-10-07
7345,Harry Maguire ,England,DF,Manchester United,23,5,-,2,325,€142.6M,180,No,2018,2018-10-05
7061,Neymar,brazil,FW ,Al Hilal,32,7,5,,392,€74.7M,188,N,2022,13/11/2022
7024,Thiago Silva, Brazil,DF,Fluminense,19,7,0,2,273,€71.4M,"1,99",TRUE,2022,2022-12-19
7195,Alvaro Morata,Spain,Forward,Atletico Madrid,,5,5,2,150,€4.6M,183,No,2018,2018-11-01
7370,Lautaro Martinez,ARGENTINA,fw,Inter Milan,,1,7,1,80,€72.4M,186,Yes,2022,10/10/2022
7287,Jamal Musiala,Germany,midfielder,Bayern Munich,34,7,N/A,0,490,Unknown,?,N,2018,2018-12-23
7244,Kylian Mbappe,FRANCE,Forward,Real Madrid,29,3,-,,114,€78.7M,197,Yes,2018,2018-11-25
7315,Cristiano Ronaldo,Portugal ,fw,Al Nassr,,7,4,3,511,€151.5M,1.85 m,yes ,2018,"Nov 5, 2018"
7197,Thomas Muller,Germany,fw,Bayern Munich,27,1,5,0,78,€64.8M,196,No,2014,2014-12-12
7188,Erling Haaland,Norway,FW ,Manchester City,21,1,3,1,87,€16.4M,169,No,2018,27/10/2018
7363,Leroy Sane,Germany ,Forward,Bayern Munich,25,4,3,0,224,€31.4M,177,No,2014,2014-11-21
7104,Alisson,Brazil,GK ,Liverpool,31,7,4,0,378,€16.4M,"1,82",Y,2014,2014-11-11
7056,Aurelien Tchouameni,FRANCE ,mf,Real Madrid,37,7,2,1,413,€24.2M,1.93 m,Yes,2014,17/12/2014
7411,Romelu Lukaku,Belgium,Forward,,26,5,4,2,400,€152.6M,171 cm,No,2022,13/11/2022
7137,Federico Valverde,Uruguay,MF,Real Madrid,19,4,2,1,248,€16.5M,"1,78",No,2018,06/11/2018
7096,Jamal Musiala,Germany,mf,Bayern Munich,22,4,1,1,292,€103.1M,170,No,2022,12/10/2022
7321,Aurelien Tchouameni,FRANCE,MF,,18,7,1,1,616,€160.4M,171,Yes,2014,2014-12-01
7080,Raphinha,Brazil,Forward,Barcelona,35,7,4,1,189,€12.4M,"1,84",N,2014,2014-10-24
7219,Manuel Neuer, Germany,GK,Bayern Munich,31,4,0,0,116,€166.2M,173,Yes,2018,"Nov 28, 2018"
7159,Raheem Sterling,ENGLAND,FW,Chelsea,26,1,6,3,59,€30.7M,175,No,2022,"Nov 23, 2022"
7174,Christian Pulisic,USA,forward,AC Milan,35,7,6,1,252,Unknown,187,Yes,2014,15/10/2014
7187,Achraf Hakimi,MOROCCO,DF,Paris Saint-Germain,34,,1,1,50,€24.4M,"1,96",No,2014,11/11/2014
7364,Antonio Rudiger,GERMANY,DF,Real Madrid,34,,N/A,2,228,€23.6M,1.71 m,Y,2014,"Nov 3, 2014"
7419,Federico Valverde,Uruguay,MF ,Real Madrid,35,3,1,1,138,€4.8M,1.93 m,TRUE,2018,bad_date
7175,Jeremy Doku,Belgium,FW ,Manchester City,220,3,5,2,249,€49.3M,1.82 m,yes ,2018,2018-12-22
7225,Darwin Nunez,Uruguay,FW ,Liverpool,31,3,2,0,132,€67.4M,165 cm,No,2022,2022-12-04
7252,Raphinha,Brazil ,fw,Barcelona,33,1,4,1,35,€23.2M,166,Yes,2014,
7190,Richarlison,Brazil,forward,Tottenham,29,5,2,0,300,€89.8M,192 cm,Y,2022,19/12/2022
7003,Thomas Muller,Germany,fw,Bayern Munich,29,3,4,2,144,€17.7M,185,No,2014,2014-12-23
7247,Kai Havertz,Germany ,FW ,Arsenal,36,7,3,,378,€11.5M,189,TRUE,2014,2014-11-27
7045,Richarlison ,brazil,FW,Tottenham,32,6,4,2,450,€162.3M,178,No,2018,2018-11-13
7073,Raphinha,Brazil,FW,Barcelona,32,1,3,2,61,€25.0M,199,Y,2014,28/12/2014
7389,Achraf Hakimi,morocco,df,Paris Saint-Germain,32,3,0,0,177,€34.4M,1.92 m,Yes,2022,"Nov 20, 2022"
7050,Dani Olmo, Spain,Midfielder,RB Leipzig,19,4,0,2,312,€21.1M,1.90 m,N,2014,"Nov 24, 2014"
7420,Kevin De Bruyne ,Belgium,Midfielder,,26,3,0,1,225,€66.2M,?,Yes,2014,"Nov 19, 2014"
7402,Richarlison,BRAZIL,FW,Tottenham,39,6,0,1,264,€101.2M,1.94 m,Y,2018,2018-10-16
7371,Hugo Lloris, France,GK,LAFC,19,6,0,0,294,€176.8M,"1,73",N,2014,08/11/2014
7333,Jordan Pickford, England,goalkeeper,Everton,36,6,0,0,378,€10.5M,190,No,2014,
7085,Jude Bellingham,England,mf,Real Madrid,38,,3,2,141,€13.0M,?,No,2014,25/11/2014
7170,Takefusa Kubo,Japan,FW ,,23,7,2,0,168,€10.3M,190,N,2014,2014-10-17
7200,Jamal Musiala,GERMANY,mf,Bayern Munich,,3,1,0,147,€15.7M,195,yes ,2018,2018-12-12
7065,Ferran Torres,Spain,FW,Barcelona,35,1,0,1,83,€104.3M,170,N,2022,N/A
7263,Bernardo Silva,PORTUGAL,mf,Manchester City,27,3,1,1,72,€39.1M,1.76 m,No,2018,
7042,Ronald Araujo,Uruguay,DF ,Barcelona,22,5,2,0,335,€88.4M,?,TRUE,2018,2018-10-21
7010,Denzel Dumfries,NETHERLANDS,DF,Inter Milan,35,4,0,0,348,Unknown,"1,69",No,2018,2018-12-08
7358,Rodri,spain,midfielder,Manchester City,29,6,1,0,,€24.3M,171,FALSE,2018,10/12/2018
7284,Marcelo Brozovic,CROATIA ,midfielder,Al Nassr,31,7,3,1,196,€87.2M,?,Y,2014,25/12/2014
7211,Rodrigo De Paul,argentina,MF ,Atletico Madrid,20,4,0,2,92,€83.3M,198,Y,2018,2018-10-27
7139,Enzo Fernandez,Argentina,Midfielder,Chelsea,32,3,1,0,213,€2.4M,197,Y,2018,26/10/2018
7223,Ousmane Dembele,france,fw,Paris Saint-Germain,,6,3,0,234,€72.7M,"1,93",No,2022,2022-12-27
7018,Rodri ,spain,Midfielder,Manchester City,25,7,1,1,483,€13.4M,"1,71",No,2014,2014-12-17
7178,Theo Hernandez,FRANCE,Defender,AC Milan,28,7,0,1,532,€149.7M,191,No,2022,2022-10-22
7314,Ronald Araujo,Uruguay,DF,,27,1,0,2,49,€116.9M,"1,94",TRUE,2018,2018-10-11
7400,Vinicius Junior,brazil,fw,Real Madrid,18,6,0,0,246,€72.0M,"1,96",FALSE,2014,2014-11-09
7404,Hakim Ziyech,morocco,mf,Galatasaray,26,1,3,3,32,€22.5M,185 cm,No,2014,07/11/2014
7249,Thiago Silva,Brazil ,DF,Fluminense,,5,2,1,130,€172.4M,"1,76",yes ,2018,18/11/2018
7270,Kevin De Bruyne,Belgium ,mf,Manchester City,24,2,3,4,146,€75.5M,193 cm,Y,2014,21/11/2014
